Student_ID,Attendance,Study_Hours,Previous_GPA,Assignment_Score,Internal_Score,Previous_Failures,Participation,Performance
ST066,84.5,0.7,6.83,74.4,55.6,3,Medium,Low
ST067,70.8,0.9,5.75,68.9,61.0,0,Medium,Low
ST068,69.5,5.6,7.99,82.2,89.2,2,Low,High
ST069,85.3,3.4,7.98,66.4,78.6,0,Medium,Average
ST070,72.7,0.0,7.89,75.5,68.3,2,Low,Low
ST071,59.7,6.2,9.31,85.1,60.6,1,Low,High
ST072,61.4,5.1,9.17,63.6,61.1,0,Low,High
ST073,64.0,2.9,6.44,62.8,73.2,2,Medium,Average
ST074,81.0,1.6,7.56,54.1,77.3,2,High,Average
ST075,76.7,6.3,6.06,56.0,53.5,1,Medium,Average
ST076,83.3,5.3,7.04,44.6,68.6,0,Medium,High
ST077,69.9,9.7,6.1,82.9,35.5,0,High,Average
ST078,76.9,5.4,9.43,99.1,71.4,4,Medium,Average
ST079,82.5,5.4,7.55,93.4,80.2,0,High,High
ST080,71.3,4.1,6.67,,63.5,0,Medium,Average
ST081,80.5,6.3,8.79,82.9,97.1,2,Medium,High
ST082,67.1,5.9,3.74,93.3,53.9,0,Low,Average
ST083,70.6,7.3,3.98,65.1,71.5,1,Low,Average
ST084,70.4,3.4,8.19,73.5,67.4,2,High,Average
ST085,60.6,3.5,7.09,41.9,66.4,1,High,Average
ST086,80.8,3.4,7.38,76.0,66.2,2,High,Average
ST087,69.4,6.2,5.01,56.0,69.7,0,High,Average
ST088,75.1,7.8,6.97,75.0,81.6,1,Low,Average
ST089,80.8,3.5,10.0,48.6,90.0,1,High,High
ST090,80.4,3.6,8.24,80.1,68.0,2,Medium,Average
ST091,83.0,5.2,7.25,87.4,81.0,0,High,High
ST092,73.8,4.0,6.34,60.3,56.8,0,Low,Low
ST093,69.9,6.6,6.41,54.9,80.3,3,Low,Low
ST094,74.0,0.0,3.81,39.7,55.8,2,High,Low
ST095,54.8,2.7,7.39,68.0,85.5,3,High,Average
ST096,57.6,2.8,8.27,63.3,100.0,0,Medium,High
ST097,59.1,0.0,4.64,48.7,66.0,4,Medium,Low
ST098,63.0,2.4,6.01,78.8,32.9,0,Medium,Low
ST099,79.8,2.5,5.26,65.3,59.2,2,High,Low
ST100,64.1,4.1,5.55,55.9,87.7,0,Medium,Average
ST101,70.5,6.9,7.08,63.7,76.8,4,Medium,Low
ST102,90.6,4.0,3.87,88.1,72.0,0,Medium,Average
ST103,70.7,2.2,7.92,81.0,84.1,3,Medium,Low
ST104,83.9,4.4,8.13,70.0,75.8,0,Medium,High
ST105,63.8,6.8,6.62,81.3,87.5,3,Medium,Low
ST106,72.5,2.4,3.28,54.6,82.7,1,High,Low
ST107,63.6,2.5,5.51,72.5,92.3,0,High,Average
ST108,70.9,5.7,8.85,74.2,73.7,0,High,High
ST109,85.1,4.0,2.83,65.0,82.5,2,Medium,Low
ST110,54.3,5.9,6.48,78.5,63.1,0,Medium,High
ST111,80.2,,5.23,60.3,58.4,0,Medium,Low
ST112,77.9,6.0,8.21,79.6,95.3,1,High,High
ST113,67.9,2.2,5.99,80.3,71.5,0,Medium,Average
ST114,57.6,4.5,7.61,28.2,80.9,0,Medium,Average
ST115,75.9,4.0,7.85,89.9,70.0,1,Medium,Average
ST116,68.6,1.8,9.75,26.3,58.6,2,Medium,Average
ST117,77.8,1.1,6.7,62.8,68.2,2,Medium,Low
ST118,75.3,6.0,7.56,87.4,91.0,4,Low,Average
ST119,94.2,3.7,4.77,67.2,76.9,0,Medium,Average
ST120,72.1,2.3,8.79,50.0,40.6,1,Medium,Low
ST121,62.7,4.3,5.86,55.6,64.6,0,Low,Low
ST122,77.2,7.0,6.16,,96.5,4,High,Average
ST123,77.6,0.0,6.97,43.2,64.6,1,Medium,Low
ST124,91.3,1.2,4.66,88.9,39.2,0,Low,Low
ST125,85.0,2.5,7.34,71.2,98.3,2,High,High
ST126,79.3,7.7,8.45,54.1,78.9,0,Medium,High
ST127,92.6,5.1,7.44,,66.9,0,High,High
ST128,60.7,6.2,4.62,56.7,62.1,2,Medium,Low
ST129,67.3,2.0,6.81,85.0,85.3,1,High,Average
ST130,63.9,2.0,8.11,83.0,59.3,3,Medium,Low
ST131,70.3,5.5,4.18,46.2,86.4,1,Medium,Average
ST132,58.5,4.6,5.39,65.9,76.7,3,Low,Low
ST133,82.6,5.7,8.31,59.1,71.9,1,Medium,High
ST134,72.3,4.1,7.41,91.4,70.3,0,Medium,High
ST135,57.4,5.1,7.62,51.7,65.2,0,Medium,High
ST136,62.8,4.8,9.79,96.1,84.7,3,Medium,High
ST137,78.8,6.2,7.7,71.5,54.2,0,High,High
ST138,85.1,6.3,7.99,54.6,42.0,1,Medium,High
ST139,99.0,0.9,10.0,61.8,77.8,0,Low,High
ST140,100.0,0.0,6.68,60.0,78.1,0,High,Average
ST141,80.0,6.7,5.8,52.9,75.7,1,Medium,Average
ST142,63.1,,7.64,73.4,74.5,0,High,High
ST143,49.4,2.3,7.66,53.6,62.9,1,High,Average
ST144,78.2,0.4,6.21,39.3,80.6,4,High,Low
ST145,65.2,4.7,5.45,66.3,67.3,0,High,Average
ST146,70.0,6.5,10.0,45.0,60.2,0,Medium,High
ST147,67.7,8.5,7.49,60.7,63.0,0,Low,High
ST148,73.3,5.6,5.9,58.4,100.0,3,Medium,Low
ST149,87.8,3.7,8.37,58.9,40.2,1,High,High
ST150,76.9,2.5,6.84,100.0,76.0,2,Medium,Average
ST151,73.1,4.5,6.62,72.8,41.1,0,High,High
ST152,62.6,3.8,7.84,75.7,66.3,2,Low,Low
ST153,54.9,2.3,5.06,45.4,61.1,0,Medium,Low
ST154,69.2,9.0,7.53,62.2,34.6,2,Medium,Average
ST155,74.4,8.4,9.87,75.2,74.2,0,Medium,High
ST156,96.2,7.0,7.7,56.6,61.9,3,Low,Low
ST157,76.6,2.5,6.44,85.6,34.4,0,Low,Low
ST158,86.8,6.4,6.24,54.0,81.4,0,High,High
ST159,69.0,5.9,6.38,67.7,91.0,0,Medium,High
ST160,60.8,5.5,6.62,63.2,91.8,0,Low,Average
ST161,63.4,7.2,6.43,74.5,73.7,0,Low,High
ST162,66.3,5.9,8.37,62.4,68.7,1,Medium,High
ST163,100.0,6.1,4.4,67.9,89.3,0,Low,Average
ST164,65.1,5.9,8.29,68.5,94.9,0,Medium,High
ST165,85.1,5.2,6.43,61.0,86.1,3,High,Low
ST166,64.2,0.6,7.57,79.3,52.9,0,Low,Low
ST167,86.2,4.7,5.31,75.6,71.2,1,Medium,Average
ST168,79.6,3.3,8.99,70.7,75.0,0,Low,High
ST169,73.1,1.7,8.87,65.5,39.0,1,Medium,Average
ST170,74.5,8.2,8.44,83.9,75.5,0,High,High
ST171,67.1,8.3,4.73,68.5,100.0,0,Medium,High
ST172,80.4,7.5,8.24,67.4,78.2,0,High,High
ST173,69.5,5.1,7.61,73.6,91.6,3,Low,Low
ST174,60.3,7.5,4.59,97.4,70.9,0,Medium,High
ST175,59.7,4.5,6.96,51.9,66.8,3,Medium,Low
ST176,77.1,4.9,7.55,83.5,74.1,4,Medium,Low
ST177,93.9,2.1,7.83,43.6,54.9,1,High,Average
ST178,76.9,5.4,7.27,75.3,52.6,0,Low,High
ST179,73.6,4.6,7.44,95.6,88.3,3,High,High
ST180,78.4,1.6,9.21,79.3,90.0,4,High,Average
ST181,90.7,4.4,8.84,74.6,52.1,0,Medium,High
ST182,77.6,4.3,2.7,63.6,83.5,4,Medium,Low
ST183,70.1,8.5,6.52,72.5,66.6,4,Medium,Average
ST184,88.3,6.5,6.75,68.2,73.4,0,Low,High
ST185,80.1,4.5,4.37,60.2,75.4,0,High,Average
ST186,93.4,5.0,7.14,67.7,83.9,2,Medium,Average
ST187,77.2,4.6,8.87,75.0,69.3,0,High,High
ST188,60.3,4.1,5.37,60.5,90.6,1,Medium,Low
ST189,58.6,2.1,7.5,59.9,73.0,0,Medium,Average
ST190,94.8,4.2,5.63,51.6,78.0,2,Medium,Low
ST191,95.7,2.9,5.99,77.9,54.7,0,Medium,Low
ST192,72.8,1.7,9.22,80.2,100.0,0,High,High
ST193,70.4,5.6,6.19,75.5,75.5,0,Low,Average
ST194,92.5,5.4,7.69,86.5,79.4,0,High,High
ST195,61.7,0.6,4.19,73.3,42.3,1,High,Low
ST196,64.3,4.2,9.79,77.9,54.8,0,High,High
ST197,82.7,6.7,7.9,76.6,87.8,3,Medium,Average
ST198,70.3,6.8,6.73,70.6,72.6,1,High,Average
ST199,74.9,6.8,7.86,64.0,37.4,0,Medium,High
ST200,73.0,4.6,4.89,100.0,84.6,4,High,Low
ST201,79.1,2.6,8.77,65.2,59.3,2,Low,Low
ST202,91.9,2.1,6.51,62.0,90.6,2,Medium,Average
ST203,76.1,5.3,6.69,78.5,66.6,0,Medium,High
ST204,82.7,5.3,6.26,75.8,71.3,2,Medium,Average
ST205,50.4,7.3,6.13,50.9,86.9,1,Medium,Average
ST206,74.4,6.9,8.04,88.8,53.6,4,High,Average
ST207,64.9,4.2,7.38,70.6,52.1,1,Low,Average
ST208,60.4,1.8,7.98,55.3,64.9,2,Medium,Low
ST209,64.5,3.8,6.99,89.8,81.2,0,Low,Average
ST210,71.0,5.0,7.77,81.4,46.7,0,High,High
ST211,86.0,4.1,6.37,53.0,41.3,0,High,Average
ST212,59.1,3.2,10.0,98.7,81.2,3,Medium,High
ST213,75.4,5.1,4.65,81.9,58.4,2,Medium,Low
ST214,69.2,3.4,8.89,71.8,61.7,0,High,High
ST215,71.1,3.1,9.05,95.9,38.3,2,High,Average
ST216,87.0,5.2,5.72,74.4,57.1,0,Medium,High
ST217,81.5,3.6,10.0,71.6,67.9,0,Medium,High
ST218,91.0,5.0,8.49,62.1,82.9,1,High,High
ST219,73.1,5.1,8.46,80.7,55.7,1,Low,High
ST220,66.6,2.0,7.04,79.1,94.5,4,High,Low
ST221,72.3,3.4,6.67,72.2,57.0,3,Medium,Low
ST222,77.9,7.7,6.69,60.2,57.1,0,High,High
ST223,77.1,1.9,7.59,73.9,92.6,3,Low,Low
ST224,62.0,0.0,9.1,71.0,71.4,1,Low,Low
ST225,76.1,0.4,7.27,52.0,59.2,3,High,Low
ST226,77.7,4.6,5.63,49.9,65.5,0,High,Average
ST227,100.0,4.6,8.24,80.5,89.6,0,High,High
ST228,97.5,4.2,8.38,33.0,91.5,0,High,High
ST229,64.8,7.2,7.98,75.1,54.9,4,Medium,Average
ST230,71.6,0.0,8.12,64.8,67.3,0,Low,Average
ST231,57.4,5.4,6.59,91.6,69.4,4,Low,Low
ST232,67.9,7.9,5.61,64.6,52.2,2,Medium,Average
ST233,78.8,2.0,5.7,81.9,67.1,0,Low,Average
ST234,89.5,3.7,4.55,66.0,68.1,3,High,Low
ST235,66.3,2.8,7.36,73.7,86.2,0,Low,High
ST236,67.2,2.5,6.87,83.1,87.3,0,Low,Average
ST237,49.2,3.8,6.34,65.1,62.7,1,Low,Low
ST238,73.0,7.6,2.57,86.9,64.6,0,Low,Average
ST239,62.3,8.5,5.13,57.1,78.6,0,Low,High
ST240,68.6,3.8,8.68,76.4,58.6,0,Medium,High
ST241,64.5,8.7,6.0,85.8,77.4,1,Medium,Average
ST242,73.9,4.6,7.54,,66.6,0,Medium,High
ST243,53.9,8.4,4.91,100.0,52.5,0,High,High
ST244,57.4,4.3,9.16,60.5,52.7,1,Medium,Average
ST245,100.0,4.8,6.78,51.3,91.2,1,Medium,High
ST246,59.6,5.3,7.44,57.1,65.5,2,Medium,Average
ST247,61.8,11.5,10.0,81.9,94.2,0,Low,High
ST248,97.0,6.4,9.27,79.5,59.8,2,Medium,High
ST249,100.0,2.9,6.54,73.5,72.7,3,High,Low
ST250,60.9,6.6,6.11,55.2,100.0,1,Medium,Average
ST251,70.6,3.7,6.51,83.5,51.1,0,Low,Low
ST252,79.1,3.4,7.76,53.6,37.6,1,Medium,Average
ST253,95.7,6.5,6.84,89.4,88.6,1,High,High
ST254,63.2,4.6,6.41,100.0,54.8,0,Medium,High
ST255,72.1,5.1,9.2,77.5,67.7,1,Medium,High
ST256,84.3,4.5,6.83,80.7,58.6,0,High,High
ST257,80.2,5.2,10.0,64.6,72.3,1,Medium,High
ST258,70.5,5.4,7.14,44.8,52.8,4,Medium,Low
ST259,73.4,0.2,9.68,63.0,65.1,1,Low,Average
ST260,58.5,6.0,7.54,55.6,75.2,3,Low,Low
ST261,72.1,2.3,8.44,50.3,51.9,0,High,High
ST262,71.8,1.3,5.91,97.8,56.8,4,Medium,Low
ST263,77.8,4.4,5.72,76.1,62.4,3,Medium,Average
ST264,68.3,4.7,7.69,77.7,45.1,4,Medium,Low
ST265,80.7,3.0,8.48,67.4,61.2,2,Low,Low
ST266,87.2,6.3,7.06,69.4,69.9,2,High,High
ST267,76.9,1.5,5.07,86.5,61.6,1,Low,Low
ST268,79.2,3.6,4.96,71.5,63.7,4,High,Low
ST269,75.6,3.2,4.86,80.0,67.7,3,Medium,Low
ST270,75.0,4.4,4.35,69.1,57.5,1,Low,Low
ST271,66.3,5.1,7.16,66.9,79.1,0,Low,Average
ST272,78.8,2.3,8.69,50.9,91.0,0,High,High
ST273,73.8,6.1,6.98,42.3,60.6,0,Low,High
ST274,100.0,4.6,3.61,68.1,75.8,0,Low,Average
ST275,93.9,0.3,6.71,72.8,64.2,0,High,Average
ST276,79.6,0.2,6.76,52.7,73.8,0,Medium,Low
ST277,65.8,4.5,10.0,71.5,93.1,4,Medium,Average
ST278,61.7,4.0,4.81,72.8,76.1,0,Low,Low
ST279,89.3,4.3,6.41,39.7,39.6,2,High,Average
ST280,78.2,4.4,9.56,58.3,75.3,0,Low,High
ST281,80.8,5.0,7.67,78.1,87.7,0,Low,High
ST282,54.1,6.6,7.84,77.8,64.5,2,Medium,Average
ST283,86.1,2.1,7.17,54.7,83.9,4,Low,Low
ST284,80.5,1.9,7.49,74.4,57.0,3,Medium,Low
ST285,61.7,2.1,8.17,87.3,44.2,4,Low,Low
ST286,69.3,5.1,5.79,83.7,70.3,1,Low,Average
ST287,78.2,7.2,8.32,70.6,39.9,2,Medium,Average
ST288,75.6,3.6,4.94,65.0,64.2,0,High,Low
ST289,71.5,0.0,7.49,62.6,88.6,3,Low,Low
ST290,73.8,0.8,7.27,79.0,37.4,2,Low,Low
ST291,72.0,2.7,6.08,74.9,47.5,0,High,Average
ST292,76.8,3.3,6.97,81.4,51.5,0,High,High
ST293,92.7,3.6,6.07,74.0,67.0,1,Medium,Average
ST294,44.2,4.6,5.39,84.3,62.1,0,Low,Low
ST295,72.2,3.8,6.47,73.4,90.4,3,Medium,Low
ST296,77.1,6.8,5.34,83.8,83.3,0,Low,Average
ST297,78.6,3.0,7.48,85.1,75.9,0,Low,Average
ST298,70.5,2.6,5.27,59.9,70.3,0,Medium,Average
ST299,53.9,5.6,8.07,44.9,74.3,3,Medium,Low
ST300,78.9,1.1,5.23,95.2,54.2,0,Medium,Low
ST301,95.7,5.4,6.15,75.8,81.7,1,Medium,Average
ST302,56.6,4.7,6.06,46.3,50.2,3,Low,Low
ST303,85.4,4.2,8.99,61.3,81.4,0,Medium,High
ST304,71.1,8.0,7.5,83.6,87.0,3,High,Average
ST305,74.3,3.1,6.68,67.8,71.4,0,High,High
ST306,62.4,9.0,7.75,64.3,65.2,2,Medium,Average
ST307,71.0,4.0,3.84,93.0,74.4,0,Medium,Average
ST308,90.6,1.7,6.94,56.3,22.2,0,Low,Low
ST309,82.0,4.7,10.0,60.0,72.8,3,Low,Average
ST310,95.8,2.1,7.2,75.2,66.2,3,Medium,Low
ST311,89.1,2.8,7.1,77.9,67.2,4,Low,Low
ST312,80.3,5.4,7.82,79.4,79.3,2,Medium,High
ST313,95.9,5.7,8.34,85.7,66.8,1,Medium,High
ST314,80.3,3.1,4.0,75.0,49.8,0,Low,Low
ST315,84.9,6.7,4.48,79.3,65.7,0,Low,Average
ST316,71.4,7.0,7.32,68.1,69.1,2,Medium,High
ST317,75.8,7.7,5.93,72.9,69.8,0,High,High
ST318,66.6,5.7,8.97,73.6,70.6,1,Medium,High
ST319,86.9,7.5,6.53,75.2,84.6,0,Medium,High
ST320,60.9,0.4,4.1,83.6,50.6,1,Low,Low
ST321,84.4,3.8,5.1,80.3,70.8,0,Medium,Average
ST322,72.7,2.6,2.88,72.7,88.6,0,Low,Low
ST323,89.1,4.8,6.65,59.9,40.2,0,Medium,Low
ST324,84.0,3.2,6.72,73.0,70.9,1,High,High
ST325,,4.1,6.36,71.6,58.6,0,Medium,High
ST326,83.8,8.6,8.62,74.9,62.1,0,Low,High
ST327,56.1,4.1,8.8,100.0,53.5,1,Low,Average
ST328,74.2,5.4,6.74,64.1,65.3,0,Low,Average
ST329,60.9,4.0,3.8,78.3,97.5,0,Medium,Average
ST330,68.8,4.7,7.93,88.0,47.8,0,High,High
ST331,93.1,4.5,7.83,73.5,49.3,1,Low,Average
ST332,82.7,5.5,7.46,100.0,47.2,4,Medium,Low
ST333,66.6,7.1,8.47,66.3,95.6,0,Medium,High
ST334,62.8,8.1,5.25,76.9,60.6,0,Low,Average
ST335,75.4,5.2,10.0,60.0,67.6,0,Low,High
ST336,60.4,5.8,5.56,66.7,61.6,0,Medium,Average
ST337,66.9,2.0,8.12,75.7,52.9,2,Medium,Average
ST338,78.7,4.3,4.47,84.7,64.2,0,Medium,Average
ST339,88.9,6.6,5.6,76.8,100.0,2,Medium,High
ST340,82.3,6.4,9.27,90.9,90.3,4,High,High
ST341,47.5,5.0,6.61,70.6,54.4,4,High,Low
ST342,78.7,6.5,8.26,67.0,78.4,1,High,High
ST343,75.9,5.6,7.36,100.0,54.7,2,High,High
ST344,80.0,7.1,6.84,77.9,39.6,4,High,Average
ST345,94.4,5.1,9.05,61.2,84.3,3,High,Average
ST346,50.2,3.7,6.65,61.6,86.6,0,Medium,Average
ST347,67.9,5.2,4.33,57.9,84.7,0,High,Average
ST348,82.1,0.0,5.8,86.0,60.5,0,High,Average
ST349,56.0,5.3,7.83,66.5,65.3,4,Medium,Low
ST350,92.7,0.0,7.59,73.9,80.0,1,Medium,Average
ST351,79.4,0.7,4.65,71.0,74.3,0,Medium,Average
ST352,85.2,5.5,5.91,83.0,61.7,0,High,High
ST353,68.1,5.6,6.13,59.3,42.1,0,Medium,Average
ST354,84.8,1.9,6.45,55.9,69.8,3,High,Low
ST355,87.8,2.9,4.94,75.4,85.3,1,High,Average
ST356,77.8,7.5,6.06,81.0,48.8,4,High,Low
ST357,77.8,3.4,5.91,77.0,78.2,0,Low,Average
ST358,78.2,9.4,8.16,59.9,73.3,1,Medium,High
ST359,64.6,4.5,8.21,82.2,80.0,0,High,High
ST360,73.2,5.4,6.78,60.8,82.0,4,High,Low
ST361,73.2,8.1,6.41,64.2,56.9,1,High,High
ST362,79.6,4.8,7.21,57.8,42.1,1,Medium,Average
ST363,87.0,2.3,5.78,91.5,59.5,1,Medium,Low
ST364,62.3,4.3,5.28,81.5,82.2,0,Low,Low
ST365,73.5,4.4,5.59,81.1,59.3,4,High,Low
ST366,92.8,1.5,6.05,90.7,56.9,1,Low,Low
ST367,66.1,3.9,5.25,100.0,38.9,2,Medium,Low
ST368,65.1,2.9,7.24,46.4,96.0,0,High,High
ST369,77.4,6.5,8.09,60.9,81.2,0,Medium,High
ST370,85.1,4.6,4.62,62.8,80.3,3,Low,Low
ST371,75.1,3.9,7.04,59.2,83.5,0,Low,High
ST372,90.9,4.3,6.67,55.8,77.2,0,High,High
ST373,85.3,5.0,7.51,67.5,64.1,3,Medium,Low
ST374,85.1,5.9,6.98,53.8,65.4,0,Low,High
ST375,81.6,2.3,4.82,77.0,61.2,0,Medium,Low
ST376,100.0,2.2,5.11,72.8,100.0,1,Low,Low
ST377,72.5,6.9,7.04,79.2,76.9,0,High,High
ST378,51.0,3.6,8.54,79.6,60.6,0,Medium,Average
ST379,94.3,1.4,3.68,81.0,75.4,0,Low,Low
ST380,69.5,5.5,7.52,66.4,51.8,0,Low,High
ST381,76.3,5.5,8.78,100.0,92.1,0,Medium,High
ST382,90.7,1.1,6.77,75.5,57.4,2,Medium,Low
ST383,55.8,5.0,7.83,44.1,76.0,0,High,High
ST384,60.0,,5.95,57.0,85.1,0,Medium,Average
ST385,55.8,5.3,6.82,45.9,74.2,0,Medium,High
ST386,65.5,5.9,4.57,72.3,69.5,1,Low,Low
ST387,80.3,1.4,3.48,70.2,68.2,3,Low,Low
ST388,81.3,5.2,8.41,65.0,67.1,0,High,High
ST389,78.3,3.8,5.52,100.0,58.8,0,Low,Average
ST390,58.0,3.4,6.32,80.2,60.8,0,High,High
ST391,47.3,6.4,4.92,82.9,91.7,1,Medium,Average
ST392,75.7,7.8,4.89,58.0,66.3,0,Low,Average
ST393,69.3,8.4,6.74,57.0,55.4,4,Low,Low
ST394,80.5,7.4,5.91,72.6,59.7,3,Low,Low
ST395,83.4,4.3,7.57,74.6,85.6,0,High,High
ST396,76.7,5.3,7.68,44.2,78.8,4,Medium,Low
ST397,84.1,6.2,7.48,69.3,77.0,0,Medium,High
ST398,77.8,4.8,7.36,72.2,63.9,0,Medium,High
ST399,81.4,4.8,9.37,68.8,77.2,4,Medium,Average
ST400,66.5,6.3,5.4,59.8,57.7,4,High,Low
ST401,72.8,4.4,6.92,63.9,63.8,0,High,Average
ST402,,2.9,8.7,69.3,83.5,1,Medium,High
ST403,,3.6,8.9,73.4,82.0,0,High,High
ST404,70.3,5.9,4.87,81.1,52.3,2,High,Average
ST405,81.3,4.5,6.53,88.2,54.3,2,Medium,Low
ST406,71.8,5.2,9.04,67.6,69.7,2,Medium,Average
ST407,73.6,6.0,7.76,65.2,95.6,1,Low,High
ST408,85.0,3.7,7.29,78.6,37.4,2,High,Low
ST409,51.1,6.2,6.67,81.2,72.5,1,High,Average
ST410,59.4,5.3,6.42,65.5,46.0,3,Low,Low
ST411,57.2,1.8,7.43,83.9,57.9,0,High,High
ST412,47.0,7.7,6.62,86.7,62.2,1,High,Average
ST413,66.9,3.4,6.94,91.4,61.3,1,Low,Low
ST414,84.0,0.9,7.12,98.7,59.5,1,Medium,Average
ST415,71.6,2.2,5.98,59.0,68.1,0,High,Average
ST416,77.4,2.3,7.8,72.2,59.4,0,High,High
ST417,88.1,4.6,10.0,72.2,44.6,4,Low,Low
ST418,90.9,3.9,4.33,70.5,80.5,0,Medium,Average
ST419,74.2,3.8,7.49,62.3,80.0,2,Medium,Average
ST420,91.2,5.9,5.86,49.7,81.5,2,Low,Average
ST421,76.1,5.2,7.87,73.4,43.3,1,Medium,Average
ST422,65.0,5.2,7.07,60.5,72.8,0,Low,Average
ST423,67.9,5.4,8.14,73.3,78.8,0,Low,High
ST424,57.2,5.9,8.76,60.1,51.5,0,Medium,High
ST425,64.3,0.0,7.29,55.5,68.1,0,Medium,Low
ST426,70.7,3.7,8.7,75.5,66.1,0,Medium,High
ST427,84.6,0.0,3.48,74.3,97.5,0,High,Low
ST428,95.6,4.6,9.39,80.7,98.8,0,Medium,High
ST429,58.4,4.5,7.56,100.0,41.4,3,Low,Average
ST430,79.7,6.8,8.62,76.2,100.0,2,Low,High
ST431,62.5,7.1,5.17,79.3,53.4,0,Low,Low
ST432,80.7,4.9,5.75,55.8,83.7,2,Medium,Average
ST433,73.4,3.4,7.22,52.7,83.5,0,Low,Average
ST434,53.0,5.6,6.97,95.7,52.1,1,Low,Average
ST435,86.1,3.3,7.42,58.1,75.9,0,Low,High
ST436,67.7,4.5,8.63,56.3,66.3,0,Medium,High
ST437,68.6,6.7,4.35,71.4,76.9,0,Medium,Average
ST438,62.2,3.3,8.46,70.6,71.7,1,High,High
